,ts,y,ylag7,r30templag7,templag7,templag8,solarradiationlag30,windspeedlag15,bandtlag8,silverkite,silverkite_mean_train,silverkite_mean_test,silverkite_std_train,silverkite_std_test,prophet,prophet_mean_train,prophet_mean_test,prophet_std_train,prophet_std_test,linreg,linreg_mean_train,linreg_mean_test,linreg_std_train,linreg_std_test,logreg,logreg_mean_train,logreg_mean_test,logreg_std_train,logreg_std_test,xgb,xgb_mean_train,xgb_mean_test,xgb_std_train,xgb_std_test
743,2022-04-15,161.0,174.0,46.57666666666667,55.7,49.3,245.6,13.1,901454.0,155.83169947180562,16.8,18.0,0.1,7.2,125.9234928701768,13.8,26.3,0.1,12.1,142.31133508284992,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,146.1149444580078,17.2,15.8,0.1,8.5
744,2022-04-16,146.0,153.0,46.93666666666666,51.1,55.7,50.5,20.5,998348.0,145.80442766525215,16.8,18.0,0.1,7.2,186.01513944460137,13.8,26.3,0.1,12.1,139.68076586633123,18.1,17.8,0.1,8.8,95.0,25.3,18.4,1.0,8.1,142.65603637695312,17.2,15.8,0.1,8.5
745,2022-04-17,134.0,146.0,46.980000000000004,46.7,51.1,214.8,16.3,897690.0,137.91337365647072,16.8,18.0,0.1,7.2,154.5903613591861,13.8,26.3,0.1,12.1,138.24182408762184,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,134.55374145507812,17.2,15.8,0.1,8.5
746,2022-04-18,100.0,121.0,47.40666666666666,49.1,46.7,172.5,14.7,850153.0,137.24307555120663,16.8,18.0,0.1,7.2,201.14655477643558,13.8,26.3,0.1,12.1,129.44147490438246,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,123.2337646484375,17.2,15.8,0.1,8.5
747,2022-04-19,103.0,166.0,48.46333333333334,59.4,49.1,103.8,15.2,901316.0,143.83262738101865,16.8,18.0,0.1,7.2,185.56707252729612,13.8,26.3,0.1,12.1,136.42827649490422,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,126.90340423583984,17.2,15.8,0.1,8.5
748,2022-04-20,152.0,164.0,49.03333333333333,61.5,59.4,246.4,10.9,936334.0,149.49510044677683,16.8,18.0,0.1,7.2,158.54554051859645,13.8,26.3,0.1,12.1,146.22475290075752,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,141.148681640625,17.2,15.8,0.1,8.5
749,2022-04-21,107.0,168.0,49.416666666666664,66.1,61.5,235.2,20.5,949712.0,155.62687047484843,16.8,18.0,0.1,7.2,139.52817731573697,13.8,26.3,0.1,12.1,141.86984572260093,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,141.4715118408203,17.2,15.8,0.1,8.5
750,2022-04-22,131.0,161.0,49.55333333333333,60.2,66.1,118.4,24.3,982717.0,156.4822691527927,16.8,18.0,0.1,7.2,139.71064302021725,13.8,26.3,0.1,12.1,139.80651453209705,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,137.8839111328125,17.2,15.8,0.1,8.5
751,2022-04-23,126.0,146.0,49.90333333333333,59.3,60.2,41.0,12.9,973156.0,145.4007667945806,16.8,18.0,0.1,7.2,138.31624470433857,13.8,26.3,0.1,12.1,140.4772841185244,18.1,17.8,0.1,8.8,100.0,25.3,18.4,1.0,8.1,130.16253662109375,17.2,15.8,0.1,8.5
752,2022-04-24,144.0,134.0,49.50333333333333,45.9,59.3,160.3,14.2,885536.0,138.87880230938075,16.8,18.0,0.1,7.2,138.90655585915928,13.8,26.3,0.1,12.1,138.15247020585954,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,138.8922119140625,17.2,15.8,0.1,8.5
753,2022-04-25,122.0,100.0,49.086666666666666,45.5,45.9,141.9,20.2,845418.0,135.77291874089195,16.8,18.0,0.1,7.2,125.81793631607118,13.8,26.3,0.1,12.1,124.16705417378923,18.1,17.8,0.1,8.8,132.0,25.3,18.4,1.0,8.1,121.74143981933594,17.2,15.8,0.1,8.5
754,2022-04-26,115.0,103.0,48.75333333333333,45.0,45.5,124.0,13.6,901207.0,140.82571022881774,16.8,18.0,0.1,7.2,129.56761965351356,13.8,26.3,0.1,12.1,131.86271603110453,18.1,17.8,0.1,8.8,132.0,25.3,18.4,1.0,8.1,124.10877990722656,17.2,15.8,0.1,8.5
755,2022-04-27,137.0,152.0,48.68,50.2,45.0,223.2,13.4,895086.0,148.26026681502947,16.8,18.0,0.1,7.2,138.14957702961138,13.8,26.3,0.1,12.1,140.18210884059542,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,137.14845275878906,17.2,15.8,0.1,8.5
756,2022-04-28,159.0,107.0,48.71333333333334,52.2,50.2,219.7,10.6,942383.0,149.78333675301297,16.8,18.0,0.1,7.2,135.4742608136051,13.8,26.3,0.1,12.1,138.4728497021931,18.1,17.8,0.1,8.8,132.0,25.3,18.4,1.0,8.1,125.73182678222656,17.2,15.8,0.1,8.5
757,2022-04-29,180.0,131.0,49.28999999999999,60.7,52.2,156.3,14.8,920202.0,160.93461905621996,16.8,18.0,0.1,7.2,143.6046683044357,13.8,26.3,0.1,12.1,134.32361445075415,18.1,17.8,0.1,8.8,149.0,25.3,18.4,1.0,8.1,136.5352783203125,17.2,15.8,0.1,8.5
